increment,time,field,volume_average
increment_0,0.0,P,3.2255193237208646e-06
increment_4,1.0,P,7005638.222682133
increment_8,2.0,P,8239600.638507449
increment_12,3.0,P,8329071.061004655
increment_16,4.0,P,8259661.977727741
increment_20,5.0,P,8190400.533906261
increment_24,6.0,P,8139825.872706205
increment_28,7.0,P,8103602.727781887
increment_32,8.0,P,8081213.9303771425
increment_36,9.0,P,8060178.9018292725
increment_40,10.0,P,8045705.979782886
increment_44,14.0,P,8012813.706677594
increment_48,18.0,P,7997523.574656036
increment_52,22.0,P,7988089.191993331
increment_56,26.0,P,7980924.655018498
increment_60,30.0,P,7974398.5332641965
increment_64,34.0,P,7967892.969507771
increment_68,38.0,P,7961754.382733832
increment_72,42.0,P,7953045.310534719
increment_76,46.0,P,7943796.746064373
increment_80,50.0,P,7932297.291541474
increment_84,54.0,P,7919158.967631429
increment_88,58.0,P,7904468.238884951
increment_92,62.0,P,7888485.759470854
increment_96,66.0,P,7871517.909383972
increment_100,70.0,P,7853851.236345936
