increment,time,strain_xx,stress_xx
increment_0,0.0,0.0,8.651947329447896e-06
increment_4,1.0,0.000999500333084712,64957877.98595115
increment_8,2.0,0.0019980026626751054,74974009.56121816
increment_12,3.0,0.0029955089798027485,77062588.79297091
increment_16,4.0,0.003992021269537905,77860594.0086324
increment_20,5.0,0.004987541511041138,78272402.2790461
increment_24,6.0,0.005982071677549407,78544313.4671979
increment_28,7.0,0.006975613736428406,78755262.18624747
increment_32,8.0,0.007968169649179097,78946444.36818516
increment_36,9.0,0.008959741371473765,79105267.3132027
increment_40,10.0,0.00995033085317048,79259836.98534636
increment_44,14.0,0.01390290516899493,79821175.8015038
increment_48,18.0,0.017839918128331012,80354359.16065155
increment_52,22.0,0.02176149178151597,80869424.93634649
increment_56,26.0,0.025667746748578926,81371647.01598105
increment_60,30.0,0.029558802241544696,81862365.40238279
increment_64,34.0,0.03343477608623936,82342508.46301207
increment_68,38.0,0.037295784743697755,82814739.00326307
increment_72,42.0,0.04114194333117474,83274323.80723393
increment_76,46.0,0.044973365642729676,83726839.51047674
increment_80,50.0,0.0487901641694297,84169850.5350009
increment_84,54.0,0.05259245011916939,84604851.1775993
increment_88,58.0,0.05638033343610626,85032008.34681594
increment_92,62.0,0.06015392281974299,85451632.80509576
increment_96,66.0,0.06391332574365012,85864085.84554519
increment_100,70.0,0.06765864847381152,86269747.83384009
